Close,High,Low,Open,Volume,Daily Return,Daily log return
2018-06-18,9769.400390625,9859.5,9717.0,9818.0,145639000,-0.008283383349406148,-0.008317881207337669
2018-06-19,9755.400390625,9782.599609375,9598.5,9656.599609375,172889800,-0.0014330459844223986,-0.0014340737768523601
2018-06-20,9788.900390625,9876.7998046875,9788.900390625,9835.0,164700200,0.00343399539317657,0.0034281126945894047
2018-06-21,9702.099609375,9844.0,9683.400390625,9824.400390625,161703000,-0.008867265758790488,-0.008906813922773631
2018-06-22,9792.099609375,9799.5,9724.900390625,9738.900390625,155310100,0.009276342608669497,0.009233581583104365
2018-06-25,9617.900390625,9737.900390625,9617.900390625,9711.400390625,151252400,-0.017789771928302334,-0.017949912000446936
2018-06-26,9637.400390625,9699.7998046875,9619.099609375,9670.2998046875,158746500,0.0020274695316044866,0.002025416989097062
2018-06-27,9658.599609375,9723.900390625,9506.599609375,9636.599609375,182574800,0.0021996822681167316,0.0021972665090293944
2018-06-28,9589.0,9669.2001953125,9541.900390625,9603.599609375,144694900,-0.007205973142053068,-0.007232061570407736
2018-06-29,9622.7001953125,9741.2998046875,9620.2998046875,9671.099609375,200359300,0.0035144640017206186,0.0035083027046621407
2018-07-02,9558.2998046875,9591.0,9443.5,9526.2998046875,153110800,-0.00669254879793213,-0.006715044327100249
2018-07-03,9660.900390625,9693.400390625,9556.099609375,9591.599609375,134418700,0.010734187882156965,0.010676985470945742
2018-07-04,9757.5,9767.2001953125,9642.7998046875,9643.7998046875,137321600,0.009999027571875319,0.009949368052581143
2018-07-05,9866.2001953125,9919.5,9773.5,9773.5,184522600,0.011140168620292101,0.01107857396954422
2018-07-06,9905.0,9926.900390625,9833.2001953125,9905.0,166583400,0.003932598560683287,0.00392488610833698
2018-07-09,9927.0,9971.599609375,9912.7001953125,9923.5,130079800,0.002221100454316005,0.0022186374570705523
2018-07-10,9889.2998046875,9938.0,9873.2998046875,9935.599609375,147677900,-0.0037977430555555802,-0.0038049727919725012
2018-07-11,9733.599609375,9833.400390625,9733.599609375,9822.5,175886600,-0.015744309343185048,-0.015869567456116795
2018-07-12,9767.400390625,9784.7998046875,9694.400390625,9774.7998046875,128896600,0.0034725880051038605,0.003466572493616721
2018-07-13,9734.7998046875,9807.5,9717.599609375,9807.5,132524900,-0.00333769320737487,-0.0033432757306426615
2018-07-16,9716.900390625,9781.099609375,9697.099609375,9733.599609375,113168400,-0.0018387038687617263,-0.0018403963596981836
2018-07-17,9719.400390625,9759.5,9643.900390625,9716.400390625,175052500,0.00025728369124911055,0.0002572505994760798
2018-07-18,9753.2001953125,9753.2001953125,9672.7001953125,9739.099609375,143477800,0.003477560685750003,0.00347152795367077
2018-07-19,9721.099609375,9796.7001953125,9696.2001953125,9748.900390625,147188300,-0.003291287505092777,-0.0032967157055981892
2018-07-20,9724.7998046875,9751.2998046875,9654.2998046875,9710.400390625,162179600,0.00038063546935895864,0.00038056304605602737
2018-07-23,9726.099609375,9747.599609375,9661.400390625,9699.7001953125,116977600,0.00013365876044812985,0.00013364982891185076
2018-07-24,9773.099609375,9820.099609375,9753.900390625,9775.900390625,160661400,0.004832358487743216,0.004820720122242545
2018-07-25,9703.099609375,9771.7001953125,9686.2001953125,9769.7998046875,149288900,-0.007162517808869118,-0.007188291784329252
2018-07-26,9780.0,9789.7001953125,9732.5,9741.2001953125,184755200,0.007925342799810053,0.0078941022235247
2018-07-27,9867.900390625,9896.0,9775.900390625,9781.599609375,230693900,0.008987770002556239,0.008947620388752672
2018-07-30,9854.099609375,9905.2998046875,9825.099609375,9827.900390625,140605100,-0.0013985529549033204,-0.0013995318428780504
2018-07-31,9870.7001953125,9924.400390625,9843.5,9846.2001953125,203079100,0.0016846375209873532,0.0016832201108570415
2018-08-01,9799.2998046875,9902.2998046875,9795.099609375,9871.099609375,136278200,-0.0072335689679752235,-0.007259858080772631
2018-08-02,9698.2001953125,9783.7998046875,9666.599609375,9765.900390625,196964000,-0.01031702380680699,-0.01037061320429886
2018-08-03,9739.7998046875,9762.7001953125,9671.2001953125,9710.2998046875,146427500,0.0042894154108208404,0.004280242091300978
2018-08-06,9722.7001953125,9788.400390625,9699.2998046875,9758.400390625,114093700,-0.00175564279737761,-0.00175718574436724
2018-08-07,9772.7998046875,9813.599609375,9743.400390625,9751.7998046875,101972500,0.005152849349314925,0.005139618851485088
2018-08-08,9747.099609375,9794.0,9700.400390625,9763.900390625,107985900,-0.002629767909516856,-0.0026332318233381444
2018-08-09,9754.599609375,9756.7001953125,9693.2001953125,9745.2001953125,108327800,0.0007694596649845398,0.0007691637826664653
2018-08-10,9602.099609375,9675.599609375,9557.400390625,9669.599609375,224945200,-0.01563365039129172,-0.015757144705841223
2018-08-13,9530.400390625,9558.400390625,9475.099609375,9543.7998046875,177470700,-0.007467035509608366,-0.007495053380016579
2018-08-14,9507.0,9596.2998046875,9476.900390625,9574.7998046875,164122900,-0.002455341818379253,-0.002458361113381888
2018-08-15,9386.7998046875,9547.599609375,9339.5,9537.0,163614400,-0.012643335995845217,-0.012723943117734823
2018-08-16,9427.400390625,9458.900390625,9384.7001953125,9440.7998046875,138149500,0.004325285164516357,0.00431595800405324
2018-08-17,9417.2998046875,9457.0,9357.599609375,9450.2998046875,141114900,-0.0010714073359548992,-0.001071981703085423
2018-08-20,9468.599609375,9512.5,9437.099609375,9448.900390625,95322000,0.005447400608608044,0.005432617185098648
2018-08-21,9549.0,9591.0,9459.400390625,9465.900390625,110664100,0.008491265228428801,0.00845541722284036
2018-08-22,9580.2001953125,9595.400390625,9512.400390625,9535.5,114116300,0.0032673782922294503,0.003262052010608303
2018-08-23,9567.2998046875,9630.2001953125,9556.2001953125,9592.5,93554900,-0.0013465679591239121,-0.0013474753964670264
2018-08-24,9589.5,9625.7998046875,9559.7001953125,9559.7001953125,99415000,0.002320424337661331,0.0023177363105472025
2018-08-27,9659.7998046875,9662.7001953125,9596.2001953125,9631.599609375,79600000,0.007330914509359188,0.007304173964491535
2018-08-28,9606.5,9671.099609375,9598.400390625,9667.599609375,114910500,-0.005517692474499958,-0.0055329711676267304
2018-08-29,9569.5,9597.099609375,9502.2998046875,9585.7001953125,104423100,-0.003851558840368474,-0.003858995193628187
2018-08-30,9467.599609375,9574.099609375,9445.099609375,9546.099609375,144314100,-0.010648455052510553,-0.010705555566608979
2018-08-31,9399.099609375,9470.599609375,9375.099609375,9466.2998046875,172662900,-0.007235202461685186,-0.007261503477920214
2018-09-03,9376.099609375,9421.599609375,9356.099609375,9387.7001953125,89353100,-0.002447042903669039,-0.0024500418064500257
2018-09-04,9376.2998046875,9436.099609375,9308.7001953125,9414.7001953125,159837500,2.135166229466634e-05,2.135143435116961e-05
2018-09-05,9301.2998046875,9377.599609375,9301.2998046875,9353.2001953125,180705200,-0.007998890987093388,-0.008031053741330087
2018-09-06,9208.7001953125,9291.7998046875,9208.2001953125,9267.7001953125,160949600,-0.009955555816869133,-0.010005443746893534
2018-09-07,9171.2001953125,9237.900390625,9111.099609375,9209.2001953125,162079000,-0.004072235951289693,-0.004080550083192093
2018-09-10,9270.7998046875,9300.900390625,9161.0,9173.0,144735800,0.010860040916553793,0.010801494170828804
2018-09-11,9284.099609375,9302.5,9211.7998046875,9301.099609375,122171200,0.0014345908624600057,0.0014335628200846915
2018-09-12,9306.7998046875,9319.7001953125,9248.7001953125,9286.5,130324000,0.0024450615856790314,0.002442077286141041
2018-09-13,9329.2001953125,9387.099609375,9296.7001953125,9308.0,159385300,0.0024068843313593824,0.002403992424660857
2018-09-14,9365.2998046875,9378.2998046875,9324.2001953125,9359.400390625,132227500,0.003869528857697535,0.003862061488176236
2018-09-17,9404.599609375,9434.400390625,9349.900390625,9350.2998046875,147148400,0.004196321047600593,0.004187541046332575
2018-09-18,9447.5,9453.599609375,9385.7998046875,9406.7001953125,141909700,0.004561639241104309,0.00455126649733587
2018-09-19,9486.2998046875,9502.900390625,9422.400390625,9464.400390625,205653800,0.004106885915586167,0.00409847567835083
2018-09-20,9583.7001953125,9607.0,9488.2998046875,9489.5,232060300,0.010267479694967108,0.010215127172683558
2018-09-21,9590.400390625,9665.400390625,9563.2998046875,9614.2998046875,408472800,0.0006991240518747777,0.0006988797784997867
2018-09-24,9512.7998046875,9586.0,9499.900390625,9549.900390625,142107200,-0.008091485524771014,-0.008124399261356408
2018-09-25,9493.599609375,9568.0,9480.400390625,9524.7998046875,141858900,-0.0020183537661582207,-0.002020393387033991
2018-09-26,9524.7998046875,9530.2998046875,9471.099609375,9519.599609375,136920500,0.0032864452469314465,0.0032810566886576956
2018-09-27,9527.5,9542.7998046875,9406.7998046875,9492.5,151514500,0.0002834910305591354,0.000283450854569774
2018-09-28,9389.2001953125,9468.900390625,9299.599609375,9468.0,243629600,-0.014515854598530553,-0.014622240391457849
2018-10-01,9407.0,9475.2001953125,9367.599609375,9384.2998046875,155283900,0.0018957743276564187,0.0018939796153940281
2018-10-02,9305.5,9356.099609375,9285.099609375,9349.099609375,187248100,-0.010789837355161036,-0.010848469787933081
